entity_b_id,generic_name,canonical_name,aliases,drug_class,flags,metabolic_pathways,transporter_substrates,therapeutic_index_tier,narrow_therapeutic_index,route,dosage_form,rxcui,pubchem_cid,label_source,curation_status
sys_med_0093,Amitriptyline,Amitriptyline,amitriptyline hydrochloride,antidepressant_tca,cyp2d6_substrate|sert_net_inhibitor|anticholinergic_systemic,CYP2D6,,medium,False,systemic,unspecified_systemic,704,,DrugBank DB00321,source_partial
sys_med_0094,Venlafaxine,Venlafaxine,venlafaxine hydrochloride,antidepressant_snri,cyp2d6_substrate|sert_net_inhibitor,CYP2D6,,low,False,systemic,unspecified_systemic,39786,,DrugBank DB00285,source_partial
sys_med_0095,Duloxetine,Duloxetine,duloxetine hydrochloride,antidepressant_snri,cyp1a2_substrate|cyp2d6_substrate|sert_net_inhibitor,CYP1A2|CYP2D6,,low,False,systemic,unspecified_systemic,72625,,DrugBank DB00476,source_partial
sys_med_0096,Pioglitazone,Pioglitazone,pioglitazone hydrochloride,antidiabetic_tzd,cyp2c8_substrate|ppar_gamma_agonist,CYP2C8,,low,False,systemic,unspecified_systemic,33738,,DrugBank DB01132,source_partial
sys_med_0097,Linagliptin,Linagliptin,linagliptin,antidiabetic_dpp4_inhibitor,dpp4_inhibitor,,,low,False,systemic,unspecified_systemic,1100699,,DrugBank DB09044,source_partial
sys_med_0098,Canagliflozin,Canagliflozin,canagliflozin,antidiabetic_sglt2_inhibitor,sglt2_inhibitor,,,low,False,systemic,unspecified_systemic,1373458,,DrugBank DB08907,source_partial
sys_med_0099,Liraglutide,Liraglutide,liraglutide,antidiabetic_glp1_ra,glp1_receptor_agonist,,,low,False,systemic,unspecified_systemic,475968,,DrugBank DB01290,source_partial
sys_med_0100,Pravastatin,Pravastatin,pravastatin sodium,statin,hmg_coa_reductase_inhibitor,,,low,False,systemic,unspecified_systemic,42463,,DrugBank DB00175,source_partial
sys_med_0101,Pitavastatin,Pitavastatin,pitavastatin calcium,statin,cyp2c9_substrate|hmg_coa_reductase_inhibitor,CYP2C9,,low,False,systemic,unspecified_systemic,861634,,DrugBank DB08876,source_partial
sys_med_0102,Doxazosin,Doxazosin,doxazosin mesylate,alpha_blocker,alpha1_adrenergic_antagonist|cyp3a4_substrate,CYP3A4,,low,False,systemic,unspecified_systemic,49276,,DrugBank DB00590,source_partial
sys_med_0103,Tamsulosin,Tamsulosin,tamsulosin hydrochloride,alpha_blocker,alpha1a_adrenergic_antagonist|cyp2d6_substrate|cyp3a4_substrate,CYP2D6|CYP3A4,,low,False,systemic,unspecified_systemic,77492,,DrugBank DB00706,source_partial
sys_med_0104,Dronedarone,Dronedarone,dronedarone,antiarrhythmic_class_iii,cyp2d6_inhibitor|cyp3a4_inhibitor|multichannel_blocker,CYP3A4|CYP2D6,,medium,False,systemic,unspecified_systemic,233698,,DrugBank DB11618,source_partial
sys_med_0105,Lidocaine IV,Lidocaine IV,lidocaine intravenous,antiarrhythmic_class_ib,cyp1a2_substrate|na_channel_blocker,CYP1A2,,medium,False,systemic,unspecified_systemic,,,DrugBank DB00281,source_partial
sys_med_0106,Flecainide,Flecainide,flecainide acetate,antiarrhythmic_class_ic,cyp2d6_substrate|na_channel_blocker,CYP2D6,,medium,False,systemic,unspecified_systemic,4441,,DrugBank DB01195,source_partial
sys_med_0107,Propafenone,Propafenone,propafenone hydrochloride,antiarrhythmic_class_ic,cyp2d6_substrate|na_channel_blocker_beta_blocker,CYP2D6,,medium,False,systemic,unspecified_systemic,8754,,DrugBank DB01182,source_partial
sys_med_0108,Tranexamic acid,Tranexamic acid,tranexamic acid,hemostatic,plasmin_inhibitor,,,low,False,systemic,unspecified_systemic,10691,,DrugBank DB00302,source_partial
sys_med_0109,Alendronic acid,Alendronic acid,alendronate sodium,bisphosphonate,farnesyl_pyrophosphate_synthase_inhibitor,,,low,False,systemic,unspecified_systemic,236083,,DrugBank DB00630,source_partial
sys_med_0110,Baclofen,Baclofen,baclofen,muscle_relaxant,gaba_b_receptor_agonist,,,low,False,systemic,unspecified_systemic,1292,,DrugBank DB00181,source_partial
sys_med_0111,Zolpidem,Zolpidem,zolpidem tartrate,non_benzodiazepine_hypnotic,cns_depressant|cyp3a4_substrate|gaba_a_positive_allosteric_modulator,CYP3A4,,low,False,systemic,unspecified_systemic,39993,,DrugBank DB00425,source_partial
sys_med_0112,Methylphenidate,Methylphenidate,methylphenidate hydrochloride,cns_stimulant,dat_net_inhibitor,,,low,False,systemic,unspecified_systemic,6901,,DrugBank DB00422,source_partial
sys_med_0113,Ondansetron,Ondansetron,ondansetron hydrochloride,antiemetic,5ht3_receptor_antagonist|cyp1a2_substrate|cyp2d6_substrate|cyp3a4_substrate|qt_prolonging,CYP1A2|CYP3A4|CYP2D6,,low,False,systemic,unspecified_systemic,26225,,DrugBank DB00904,source_partial
sys_med_0114,Acyclovir systemic,Acyclovir systemic,acyclovir systemic,antiviral_systemic,viral_dna_polymerase_inhibitor,,,low,False,systemic,unspecified_systemic,,,DrugBank DB00787,source_partial
sys_med_0115,Insulin glargine,Insulin glargine,insulin glargine|Lantus,antidiabetic_insulin,insulin_receptor_agonist,,,medium,False,systemic,unspecified_systemic,274783,,DrugBank DB00047,source_partial
sys_med_0116,Edoxaban,Edoxaban,edoxaban tosylate,anticoagulant_direct_xa_inhibitor,anticoagulant|factor_xa_inhibitor|p_gp_substrate,,P-glycoprotein,low,False,systemic,unspecified_systemic,1599538,,DrugBank DB09075,source_partial
sys_med_0117,Prasugrel,Prasugrel,prasugrel hydrochloride,antiplatelet,antiplatelet|p2y12_inhibitor_prodrug,,,low,False,systemic,unspecified_systemic,613391,,DrugBank DB06209,source_partial
